"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43","createUser_shouldReturn400WhenEmailIsMissing","Gradle suite","2026-04-17","passed","2026-04-17","com.user.management.api.testing.tests.CreateUserTest","Gradle test","com.user.management.api.testing.tests.CreateUserTest","createUser_shouldReturn400WhenEmailIsMissing"
"","43","createUser_shouldReturn201WithMinimumAge","Gradle suite","2026-04-17","passed","2026-04-17","com.user.management.api.testing.tests.CreateUserTest","Gradle test","com.user.management.api.testing.tests.CreateUserTest","createUser_shouldReturn201WithMinimumAge"
"","35","createUser_shouldReturn400WhenAgeBelowMinimum","Gradle suite","2026-04-17","passed","2026-04-17","com.user.management.api.testing.tests.CreateUserTest","Gradle test","com.user.management.api.testing.tests.CreateUserTest","createUser_shouldReturn400WhenAgeBelowMinimum"
"","31","createUser_shouldReturn400WhenNameIsMissing","Gradle suite","2026-04-17","passed","2026-04-17","com.user.management.api.testing.tests.CreateUserTest","Gradle test","com.user.management.api.testing.tests.CreateUserTest","createUser_shouldReturn400WhenNameIsMissing"
"","39","createUser_shouldReturn400WhenAgeExceedsMaximum","Gradle suite","2026-04-17","passed","2026-04-17","com.user.management.api.testing.tests.CreateUserTest","Gradle test","com.user.management.api.testing.tests.CreateUserTest","createUser_shouldReturn400WhenAgeExceedsMaximum"
"","44","updateUser_shouldReturn409WhenEmailAlreadyExists","Gradle suite","2026-04-17","passed","2026-04-17","com.user.management.api.testing.tests.UpdateUserTest","Gradle test","com.user.management.api.testing.tests.UpdateUserTest","updateUser_shouldReturn409WhenEmailAlreadyExists"
"","280","deleteUser_shouldReturn401WhenInvalidToken","Gradle suite","2026-04-17","passed","2026-04-17","com.user.management.api.testing.tests.TokenOnNonAuthEndpointsTest","Gradle test","com.user.management.api.testing.tests.TokenOnNonAuthEndpointsTest","deleteUser_shouldReturn401WhenInvalidToken"
"","4338","listUsers_shouldContainCreatedUser","Gradle suite","2026-04-17","passed","2026-04-17","com.user.management.api.testing.tests.ListUsersTest","Gradle test","com.user.management.api.testing.tests.ListUsersTest","listUsers_shouldContainCreatedUser"
"","83","updateUser_shouldReturn400WhenAgeBelowMinimum","Gradle suite","2026-04-17","passed","2026-04-17","com.user.management.api.testing.tests.UpdateUserTest","Gradle test","com.user.management.api.testing.tests.UpdateUserTest","updateUser_shouldReturn400WhenAgeBelowMinimum"
"","162","getUserByEmail_shouldReturn404WhenUserNotFound","Gradle suite","2026-04-17","failed","2026-04-17","com.user.management.api.testing.tests.GetUserTest","Gradle test","com.user.management.api.testing.tests.GetUserTest","getUserByEmail_shouldReturn404WhenUserNotFound"
